Customer_Income,First_Buy_Data,Last_Buy_Data,Average_Buy_Amount,Frequency_Level,Buy_Amount_Grade,Special_Buyer,Last_Buy_Amount,Buy_Amount_Average,Class
3,8712,9412,0.27,1,E,X,10,3.7,0
0,8608,9406,0.22,1,E,X,10,11.23,0
0,8811,9406,0.27,1,E,X,12,10.58,0
4,9009,9403,0.08,1,F,0,15,14.25,0
0,8508,9412,0.15,1,G,X,25,15.56,0
3,8602,9412,0.21,2,E,X,10,7.75,0
2,8508,9404,0.27,1,E,X,10,5.5,0
3,9301,9503,0.14,2,F,0,15,9,0
4,9301,9411,0.25,3,E,0,12,8.14,0
4,9210,9412,0.1,1,F,0,20,12,0
4,8511,9602,0.35,1,E,X,15,8.29,0
5,8508,9502,0.52,4,E,X,5,7.12,0
4,9312,9408,0.13,2,F,0,20,18.33,0
6,8508,9412,0.31,3,D,X,5,2.88,0
5,8910,9501,0.34,3,D,X,6,5.5,0
2,9002,9406,0.06,1,F,0,15,16.66,0
4,9003,9404,0.08,1,F,0,15,10,0
1,9009,9404,0.08,1,G,0,25,12.5,0
2,8911,9407,0.11,1,F,X,16,13.5,0
2,8812,9412,0.1,1,F,0,19,16.66,0
4,9209,9503,0.17,3,F,0,24,17.57,0
2,9002,9501,0.13,1,F,X,17,10.71,0
7,9502,9502,0.06,1,F,0,20,20,0
6,9401,9503,0.08,1,G,0,25,22.5,0
4,8707,9412,0.13,1,F,X,19,13.6,0
3,8512,9411,0.09,2,G,0,250,58.85,0
0,9111,9411,0.28,3,E,X,5,7.38,0
6,9410,9502,0.07,1,G,0,25,17.5,1
5,8612,9501,0.12,1,G,0,50,41,0
7,9301,9409,0.15,1,F,0,20,8.8,0
0,9310,9404,0.11,1,F,0,22,17.33,0
7,9302,9501,0.16,1,F,X,15,7.5,0
3,8809,9511,0.13,2,E,X,10,10.66,0
3,9001,9409,0.23,2,E,X,10,7.46,0
3,8510,9501,0.39,4,E,X,11,9.02,0
0,9406,9406,0.05,1,G,0,25,25,1
3,9310,9410,0.16,3,E,0,10,5.5,0
5,9110,9503,0.16,3,G,0,30,33.12,0
2,8512,9409,0.25,2,E,X,8,4.88,0
5,9501,9501,0.07,1,F,0,15,15,0
5,9209,9501,0.09,1,F,0,15,11.66,0
5,9010,9412,0.08,1,F,0,15,20,0
7,8810,9412,0.1,1,F,0,15,12.5,0
4,9002,9408,0.08,1,G,0,25,18.75,0
1,9406,9601,0.22,4,E,X,10,6.66,0
6,9106,9501,0.1,1,F,0,20,19.75,0
0,8809,9412,0.26,1,E,X,10,8.35,0
5,9501,9503,0.12,3,E,0,10,7.5,0
3,9502,9502,0.07,1,G,0,50,50,0
1,9402,9411,0.19,4,E,X,7,7.8,0
1,8508,9412,0.27,2,G,X,30,8.2,0
2,9311,9408,0.08,1,F,0,15,15,0
0,9401,9409,0.14,2,F,0,14,14.25,0
5,9202,9502,0.09,1,G,X,25,20.28,0
0,9001,9502,0.38,4,D,X,5,4.63,0
6,8901,9412,0.13,1,G,X,27,11.14,0
2,8705,9404,0.19,1,E,X,12,11.3,0
6,9402,9412,0.09,1,F,0,15,12.5,0
4,9409,9409,0.07,1,F,0,15,15,0
3,9201,9411,0.14,2,G,0,30,15.83,0
2,8802,9411,0.14,2,F,0,15,6.87,0
4,8812,9503,0.36,4,D,X,6,5.66,0
7,8601,9501,0.22,3,F,X,10,7.66,0
7,9412,9412,0.08,1,F,0,20,20,0
0,9310,9501,0.26,4,E,X,9,8.62,0
3,9210,9502,0.14,1,F,0,20,11.66,0
5,9001,9406,0.15,1,G,X,30,18.77,0
6,8709,9412,0.27,2,E,X,10,11.5,0
6,9406,9406,0.05,1,G,0,25,25,0
7,9003,9405,0.1,2,G,0,25,31.66,0
1,9410,9502,0.17,3,E,0,10,6.66,0
2,8509,9412,0.65,4,E,X,12,7.75,0
3,9101,9412,0.2,3,E,X,12,6.7,0
0,8710,9409,0.17,1,F,X,20,11.08,0
0,9012,9503,0.25,4,E,X,8,6.92,0
1,8508,9406,0.27,1,E,X,12,5.45,0
0,9312,9411,0.12,2,F,0,20,16.66,0
0,9302,9503,0.36,4,D,X,3,4.25,0
3,9401,9407,0.07,1,G,0,25,22.5,0
2,9307,9501,0.22,4,D,X,5,6,0
4,8604,9412,0.22,2,E,X,10,9.25,0
3,9401,9410,0.09,1,F,0,20,17.5,0
0,9201,9501,0.1,1,G,0,25,11.75,0
0,9502,9502,0.06,1,F,0,20,20,0
0,8510,9410,0.23,1,F,X,19,9,0
0,9101,9501,0.25,3,E,X,10,5.27,0
4,8602,9412,0.23,2,F,X,14,8.94,0
2,9011,9412,0.29,1,F,0,15,7.4,0
1,8810,9503,0.14,3,E,0,10,6,0
0,8802,9501,0.13,1,G,0,35,31.66,0
0,9003,9412,0.25,1,G,0,50,21.42,0
7,8809,9409,0.12,1,G,0,25,19.3,0
0,9103,9502,0.25,4,F,X,13,9.21,0
5,9202,9503,0.18,3,F,X,10,11.62,0
5,8601,9404,0.12,1,F,0,16,10.85,0
2,8810,9503,0.19,3,E,0,10,9.2,0
0,8904,9501,0.23,3,D,X,7,5,0
0,8601,9405,0.22,1,G,X,25,12.29,0
6,8709,9412,0.15,1,G,0,25,17.08,0
4,8809,9409,0.3,3,D,X,9,5,0
2,9301,9503,0.15,2,F,0,15,10.6,0
0,9212,9410,0.11,1,G,0,25,18.75,0
5,8602,9405,0.23,1,F,X,15,9.52,1
3,8601,9411,0.42,1,E,X,11,6,0
2,8512,9412,0.22,1,F,X,20,10.5,0
6,8508,9408,0.23,1,E,X,10,5.64,0
0,9410,9503,0.11,2,F,0,15,14,0
3,9209,9502,0.37,4,D,X,6,5.62,0
3,9406,9412,0.12,3,G,0,15,21.66,0
6,9204,9503,0.13,1,G,X,25,24.16,0
3,9110,9407,0.36,4,D,X,3,3.68,0
6,8902,9504,0.14,2,G,X,25,18.53,0
2,9311,9411,0.12,2,G,0,12,15.66,0
5,9309,9412,0.08,1,F,0,15,12.5,0
5,9411,9411,0.08,1,F,0,20,20,0
2,9502,9502,0.07,1,F,0,15,15,0
0,9410,9410,0.06,1,F,0,23,23,0
0,9306,9404,0.12,1,G,0,25,17.5,0
2,9312,9412,0.09,1,G,0,25,22.5,0
0,9301,9502,0.14,3,E,0,6,8.8,0
5,9102,9412,0.12,1,G,0,50,21.71,0
7,9210,9501,0.17,3,F,X,15,11.33,0
0,9003,9410,0.11,2,F,0,20,12.5,0
1,8712,9407,0.09,1,F,0,20,11.16,0
5,8909,9410,0.23,2,E,X,6,6.92,0
3,9501,9501,0.07,1,F,0,20,20,0
6,9402,9411,0.23,2,F,0,15,9,0
2,9502,9503,0.14,2,F,0,6,13,0
4,9409,9409,0.06,1,F,0,20,20,0
2,9007,9409,0.15,2,G,0,23,18.44,0
4,9401,9502,0.32,4,D,X,4,4.44,0
3,9009,9502,0.12,1,G,0,25,12.5,0
7,8602,9412,0.13,1,G,X,25,12.7,0
6,9309,9409,0.07,1,F,0,20,15,0
0,9301,9501,0.14,3,F,0,16,10.6,0
1,8709,9501,0.13,1,F,0,15,10.33,0
2,9501,9503,0.14,2,F,0,6,10.5,0
3,8607,9412,0.14,1,F,X,15,9.44,0
4,9102,9502,0.15,3,E,0,10,8,0
7,9110,9411,0.11,1,F,0,20,12.8,0
0,8509,9407,0.23,1,G,X,25,19.1,0
2,9302,9502,0.12,1,F,0,15,9.25,0
1,9406,9411,0.11,2,F,0,5,12.5,0
4,8702,9412,0.13,2,G,X,50,18.9,0
0,9402,9503,0.14,3,E,X,10,10,0
1,9301,9503,0.18,3,E,X,14,11.33,0
1,9210,9404,0.17,1,F,X,20,6.66,0
5,8511,9502,0.46,4,E,X,12,11.23,0
3,9210,9412,0.08,1,F,0,20,11.33,0
5,8805,9502,0.15,1,F,X,18,12.61,0
2,9310,9411,0.14,2,G,0,35,15.75,0
0,9310,9412,0.16,3,F,0,20,14.4,0
0,8510,9411,0.44,4,D,X,4,3.38,0
5,9112,9409,0.15,1,F,0,18,10.66,0
2,8707,9501,0.24,4,D,0,7,6.46,0
1,9002,9503,0.21,4,F,0,10,9.12,0
6,9410,9502,0.11,2,F,0,15,12.5,0
0,9410,9410,0.06,1,F,0,20,20,0
5,8810,9407,0.22,2,E,0,11,8.25,0
2,8509,9404,0.17,1,E,X,14,9.07,0
7,9201,9501,0.14,3,E,X,6,6.5,0
2,9411,9411,0.07,1,F,0,20,20,0
4,9209,9503,0.2,3,E,0,10,8,0
2,9309,9410,0.08,1,F,0,20,15,0
7,9103,9503,0.15,1,F,0,15,10.36,0
2,8709,9408,0.12,1,F,0,17,13.5,0
7,9003,9408,0.2,4,G,0,19,15.72,0
3,9102,9408,0.1,2,F,0,15,14.6,0
1,8709,9408,0.13,2,F,0,15,10.25,0
4,9209,9412,0.15,1,G,0,32,16.33,0
2,8705,9406,0.28,1,E,X,10,6.93,0
2,8512,9406,0.31,1,G,X,35,23.87,0
0,8901,9602,0.43,4,F,X,20,16.03,0
3,9109,9412,0.19,2,F,X,12,10.22,0
6,9303,9412,0.14,2,F,X,15,11.8,0
5,9104,9408,0.09,1,F,0,20,10.66,0
2,9406,9501,0.27,4,D,X,5,6,0
3,8512,9410,0.17,2,F,X,15,9.84,0
5,8508,9409,0.18,1,E,X,10,7.23,0
7,9411,9411,0.06,1,F,0,15,15,0
0,9402,9501,0.2,4,E,X,5,6,0
3,8612,9406,0.28,2,E,X,10,8.9,0
3,8902,9412,0.2,3,D,X,9,7.23,1
1,9406,9412,0.13,3,F,0,15,15.66,0
5,9210,9501,0.22,4,E,X,10,6.66,0
3,9401,9410,0.08,1,F,0,20,12.5,0
4,8701,9503,0.12,1,G,X,30,47.77,0
7,9311,9411,0.08,1,G,0,25,25,0
0,8701,9411,0.39,2,E,X,7,7.02,0
0,9209,9405,0.1,1,F,0,20,16.25,0
1,8709,9601,0.18,2,F,0,10,8.55,0
5,9202,9406,0.09,1,F,0,15,15.5,0
3,8902,9501,0.19,3,F,X,18,13.75,1
1,9210,9404,0.16,1,F,X,15,11.66,0
1,8802,9407,0.08,1,F,0,21,12.2,0
5,9409,9501,0.1,2,F,0,20,12.5,0
3,9502,9502,0.07,1,F,0,20,20,0
5,9502,9502,0.07,1,G,0,28,28,0
1,8605,9502,0.32,3,G,0,25,18.05,0
0,9111,9502,0.24,3,F,X,15,15.83,1
4,9402,9407,0.09,1,F,0,18,15.5,0
3,9209,9412,0.2,3,E,X,12,9.18,0
2,8912,9412,0.18,2,E,X,11,9.08,0
2,8910,9411,0.17,2,F,0,15,10.2,0
5,8903,9412,0.2,3,E,X,5,7.25,0
0,9202,9404,0.08,1,G,0,25,21.66,0
0,9004,9411,0.09,1,F,0,20,15,0
2,8911,9501,0.45,4,D,X,5,3.6,0
1,9401,9412,0.09,1,F,0,20,17.5,0
7,9209,9406,0.15,1,F,X,15,9,0
2,9301,9501,0.29,4,D,X,6,5.6,0
2,9110,9502,0.1,1,F,0,10,8.85,0
1,9303,9501,0.19,3,F,X,10,10,1
1,9001,9502,0.18,3,F,X,15,15.27,0
3,8509,9503,0.25,2,E,X,11,6.66,0
0,9202,9502,0.12,2,F,0,15,11.2,0
6,9202,9412,0.11,2,G,0,40,19,0
2,8909,9406,0.2,1,F,0,16,10.55,0
6,9502,9502,0.07,1,F,0,20,20,0
5,9312,9406,0.13,2,F,0,15,15,0
7,9210,9501,0.25,3,E,X,6,7.1,0
7,8809,9411,0.09,2,G,0,35,32.5,0
7,9406,9406,0.06,1,F,0,20,20,0
0,9501,9501,0.07,1,G,0,28,28,0
5,8909,9403,0.1,1,G,0,25,23,0
4,8602,9412,0.18,2,E,X,6,9.25,0
2,9201,9501,0.15,2,F,0,15,12.28,0
0,9405,9502,0.15,3,E,0,10,7.33,0
1,9502,9502,0.07,1,F,0,20,20,0
0,8601,9501,0.18,2,G,X,50,15.86,0
4,9210,9410,0.2,3,E,0,9,7,0
7,9502,9502,0.07,1,G,0,50,50,0
6,9410,9410,0.06,1,G,0,25,25,0
1,8902,9412,0.25,4,D,X,5,5.6,0
0,9211,9404,0.18,1,F,X,20,17.14,0
3,8509,9504,0.33,4,D,X,5,5.02,0
4,9301,9412,0.14,3,G,0,25,17.6,0
4,8703,9501,0.33,3,D,X,7,6,0
2,9411,9411,0.08,1,G,0,25,25,0
3,9009,9411,0.1,1,G,0,25,11.8,0
1,8601,9501,0.3,2,E,X,10,4.88,0
2,8902,9502,0.22,2,E,X,5,7.71,0
0,9402,9412,0.09,1,F,0,15,12.5,0
0,8903,9601,0.13,1,G,X,30,24.44,0
7,8508,9502,0.33,2,F,X,15,6.96,0
5,8906,9405,0.1,1,G,0,40,30.83,0
0,9407,9503,0.1,2,F,0,20,15,0
0,8809,9412,0.22,2,F,X,20,16.45,0
7,8701,9501,0.19,3,E,X,12,9.15,0
7,8607,9502,0.12,2,F,0,20,15.5,0
5,9003,9503,0.17,2,F,X,20,8.77,0
3,8701,9412,0.15,1,F,X,15,8.6,0
5,9101,9412,0.1,1,F,0,20,15,0
5,9503,9503,0.1,1,F,0,20,20,0
7,9309,9404,0.08,1,F,0,20,12.5,0
4,8901,9412,0.31,2,F,0,20,17.71,0
7,8510,9502,0.14,1,G,X,30,14.81,0
2,8704,9404,0.15,1,F,0,18,11.72,1
1,8908,9509,0.18,4,F,X,20,16.62,0
6,9401,9411,0.09,1,F,0,22,16,0
1,8902,9501,0.26,2,F,X,20,10.3,0
1,8701,9411,0.3,1,F,X,7,7.28,0
0,9401,9404,0.09,1,F,0,20,16.5,0
4,9502,9502,0.07,1,F,0,20,20,0
0,8510,9501,0.24,3,E,X,7,5.16,0
5,9301,9412,0.16,3,E,0,10,8,0
3,9302,9412,0.08,1,G,0,25,25,0
0,9503,9505,0.07,1,G,0,0,50,0
2,8801,9412,0.42,2,E,X,14,13.5,0
6,9201,9411,0.18,2,G,0,25,17.12,0
2,8602,9501,0.2,2,E,X,5,8.61,0
0,9302,9501,0.23,1,G,0,25,20,0
5,8605,9503,0.2,2,E,X,10,8,0
2,9309,9409,0.1,2,G,0,12,15.66,0
4,9210,9501,0.33,4,E,X,11,8.5,0
3,8508,9601,0.5,2,E,X,5,6.09,0
7,9011,9406,0.11,1,F,X,18,16.5,0
4,9406,9406,0.06,1,F,0,15,15,0
0,8910,9501,0.18,4,F,X,20,13,0
2,8510,9503,0.35,4,F,X,15,8.55,0
5,8710,9412,0.33,4,D,X,3,4.28,0
2,8802,9502,0.2,2,F,X,16,7.66,1
2,9310,9501,0.11,2,G,0,10,15,0
1,9201,9501,0.21,3,E,X,10,5.25,1
0,9409,9409,0.05,1,G,0,50,50,0
5,9410,9410,0.06,1,G,0,25,25,0
0,8805,9412,0.17,1,F,X,22,7.5,0
3,9101,9504,0.12,1,G,0,25,13.57,0
0,9209,9412,0.5,3,E,X,10,8.55,0
4,9402,9502,0.13,2,F,X,15,11.66,0
0,8701,9409,0.24,1,F,X,17,11.94,0
0,8810,9412,0.15,1,F,0,15,14.6,0
0,9304,9407,0.09,1,G,0,25,13.66,0
0,9003,9409,0.16,1,F,0,15,9.5,0
2,9409,9502,0.15,3,E,0,14,10,0
6,9312,9501,0.09,1,F,0,17,16,0
2,9210,9503,0.27,4,D,X,6,5.54,0
6,8901,9409,0.07,1,G,0,30,18.5,0
4,9402,9412,0.13,2,F,0,16,10.66,0
0,9501,9501,0.08,1,F,0,20,20,0
5,9401,9502,0.08,1,F,0,16,13,0
2,8603,9502,0.25,2,E,X,10,5.68,0
5,9101,9501,0.1,1,G,X,25,12,0
1,9501,9512,0.1,1,F,0,10,16.66,0
6,8602,9409,0.34,1,G,X,50,27.91,0
7,8905,9404,0.16,1,F,X,20,10,0
5,8711,9407,0.17,2,E,X,10,10.09,0
1,8703,9412,0.3,3,F,X,10,11.26,0
5,8709,9406,0.4,2,G,X,25,12.18,0
0,9401,9411,0.12,2,F,0,20,10.66,0
1,8508,9502,0.4,3,D,X,5,5.38,0
7,9004,9406,0.07,1,F,0,15,15.66,0
4,8512,9404,0.43,1,E,X,10,5.9,0
1,9012,9502,0.32,3,D,X,7,6.83,0
4,9210,9407,0.11,1,F,0,16,9.66,0
6,9501,9501,0.08,1,F,0,20,20,0
2,9402,9412,0.09,1,F,0,15,10,0
5,8709,9511,0.17,3,F,X,11,16.29,0
6,8905,9411,0.24,3,G,X,15,18.66,0
5,8904,9501,0.14,2,G,0,25,15.42,0
4,8510,9410,0.3,1,F,X,17,9.22,0
3,8610,9408,0.2,1,E,X,10,11.07,0
4,9502,9502,0.07,1,G,0,25,25,0
6,9103,9412,0.1,1,F,0,15,18.66,0
0,8901,9406,0.18,1,F,X,21,12.45,0
0,8909,9501,0.51,4,D,X,4,4.11,0
5,9110,9501,0.22,4,E,X,12,8.9,0
2,9003,9503,0.23,2,E,X,10,5.83,0
6,8912,9502,0.1,1,G,0,42,11.3,0
0,9301,9501,0.11,1,G,X,25,21,0
2,9412,9412,0.07,1,G,0,50,50,0
5,9101,9410,0.13,1,F,X,15,8.66,0
6,9210,9503,0.13,2,F,X,17,13.8,0
1,9311,9411,0.12,2,F,0,20,13.33,0
4,9101,9502,0.16,4,F,0,14,12.62,0
0,9401,9602,0.22,3,E,0,0,7.22,0
4,8902,9408,0.24,2,E,X,10,8.85,0
1,8509,9406,0.14,1,F,0,15,8.12,0
4,8712,9503,0.28,3,D,X,5,3.31,0
0,9104,9411,0.28,3,E,X,4,7.53,0
2,9403,9412,0.2,4,E,X,5,6,0
4,9301,9412,0.14,3,F,0,12,11.8,0
5,8806,9412,0.12,1,G,0,40,19.62,0
2,9201,9412,0.18,3,E,X,8,6.75,1
2,9401,9512,0.27,4,E,X,6,6.93,1
0,8712,9411,0.26,4,E,0,10,9.66,0
3,8603,9407,0.17,1,F,X,20,11.36,1
5,9402,9412,0.29,4,D,X,4,3.42,0
0,9101,9404,0.07,1,G,0,35,23.75,0
4,9502,9502,0.07,1,G,0,25,25,0
0,8510,9412,0.14,2,F,X,12,11.5,0
1,9406,9501,0.16,4,E,X,5,6.25,0
0,9201,9408,0.2,1,G,X,40,13.77,0
5,9309,9501,0.25,4,E,X,9,7.57,0
4,9009,9503,0.27,4,F,X,16,13.58,0
3,8603,9411,0.19,1,F,X,17,9.93,0
4,8702,9411,0.11,1,F,0,17,13.5,0
5,9302,9406,0.12,1,F,0,20,11.5,0
3,9001,9502,0.18,3,F,0,15,12.13,0
0,8809,9503,0.16,2,F,X,19,15.36,0
0,8812,9409,0.17,1,F,X,18,11.8,0
5,8709,9411,0.26,2,E,X,12,8.2,0
1,8512,9410,0.22,1,F,X,16,8.29,0
1,9009,9502,0.26,4,E,X,13,7.56,0
2,9502,9502,0.06,1,F,0,20,20,0
1,8508,9503,0.33,2,E,X,10,10.61,0
6,9407,9502,0.18,3,E,0,14,11.33,0
2,9202,9412,0.22,4,D,0,7,5.12,0
1,8512,9407,0.31,3,D,X,9,7.13,0
6,9311,9501,0.14,3,F,0,13,12.5,0
2,8901,9409,0.14,1,F,X,15,11.66,0
3,8901,9411,0.21,1,E,X,12,8.61,0
0,9211,9501,0.09,1,F,0,16,12.66,0
2,9401,9408,0.13,2,F,0,21,17,0
7,9301,9411,0.11,1,F,0,20,14,0
4,9402,9411,0.12,2,F,0,20,15.33,0
6,9210,9408,0.1,1,G,0,26,25.75,1
1,9410,9410,0.06,1,G,0,25,25,0
3,8604,9601,0.16,2,G,X,25,14.61,0
2,8811,9503,0.3,3,E,X,5,6.85,0
1,9312,9503,0.24,4,E,X,10,9.16,0
4,8710,9410,0.2,2,E,0,10,11.5,0
4,8701,9404,0.24,1,F,X,17,11.66,1
7,9102,9502,0.1,2,F,0,15,10.75,0
6,9310,9411,0.2,3,E,0,8,8.33,0
5,8809,9412,0.19,2,E,X,10,7.5,0
0,8911,9404,0.15,1,F,0,20,14,1
2,9502,9502,0.07,1,F,0,15,15,0
1,9011,9412,0.18,1,G,X,25,10.7,0
2,9003,9503,0.12,3,F,X,15,14.14,0
4,9201,9503,0.29,3,D,X,6,5.46,0
6,8909,9404,0.26,1,E,0,10,13.92,0
0,9210,9503,0.27,4,D,X,9,6.81,0
5,8604,9412,0.29,3,D,X,5,2.85,0
2,9310,9412,0.16,3,E,0,10,6.75,0
4,9102,9412,0.16,2,F,X,10,8.87,0
7,8604,9502,0.25,1,G,X,30,14,0
1,9409,9409,0.06,1,F,0,23,23,0
7,9110,9503,0.11,1,F,0,20,11.8,0
4,8901,9412,0.18,2,G,0,32,25.43,0
0,9009,9412,0.19,4,G,0,25,15.5,0
4,8701,9503,0.15,1,F,0,15,8.77,0
3,9501,9501,0.07,1,F,0,15,15,0
6,9110,9406,0.17,1,G,X,25,18.77,0
5,9309,9412,0.24,4,D,X,6,4.85,0
0,9209,9412,0.56,4,D,X,5,4.33,0
4,9407,9502,0.15,3,E,0,11,7,0
0,8902,9412,0.29,3,D,X,5,4.8,0
7,8908,9503,0.14,3,F,0,15,11.62,0
5,9011,9412,0.1,1,G,0,30,24,0
0,9401,9408,0.09,1,F,0,15,15,0
5,8810,9412,0.15,2,F,X,20,10,0
0,8701,9409,0.12,1,F,X,16,11.25,0
5,9402,9412,0.1,1,F,0,20,15,0
5,8602,9502,0.21,3,E,X,10,7.75,0
2,8512,9503,0.31,3,D,X,5,4.54,0
2,8509,9412,0.26,4,E,0,5,10.42,0
5,9401,9503,0.17,3,E,X,9,8,0
2,8806,9503,0.2,3,F,X,10,8.15,0
6,9310,9404,0.07,1,G,0,30,27.5,0
0,9210,9502,0.23,1,F,X,15,12.22,0
5,9402,9503,0.2,4,E,0,6,8.2,0
7,8704,9409,0.23,2,G,0,19,13.09,0
0,9303,9412,0.09,1,F,0,20,15,0
5,9205,9404,0.09,1,F,0,15,13.8,0
4,9202,9412,0.14,3,E,0,12,9.4,0
6,9402,9412,0.1,1,F,0,15,10,0
6,8701,9502,0.18,3,D,X,9,6.45,0
0,9402,9406,0.09,1,F,0,16,13,0
2,8510,9501,0.27,3,D,X,3,3.2,0
4,8712,9412,0.29,1,E,X,12,7.33,0
5,9309,9406,0.08,1,F,0,15,15,0
6,9501,9501,0.07,1,G,0,50,50,0
0,9502,9510,0.12,1,G,0,20,22.5,0
0,8508,9412,0.25,2,E,X,13,8.28,0
4,8508,9512,0.22,1,G,X,17,10.8,0
5,9112,9412,0.12,1,F,X,15,11.4,0
6,9105,9502,0.12,1,F,0,10,12.42,0
3,9001,9502,0.15,3,G,X,25,23.44,0
6,9310,9502,0.25,4,D,0,7,5.4,0
4,9210,9502,0.16,2,E,0,12,11.85,0
0,8509,9411,0.2,2,F,X,18,11.21,0
5,9002,9412,0.23,2,F,0,17,20.2,0
5,9410,9502,0.1,2,G,0,75,62.5,0
0,8512,9409,0.34,1,G,X,25,9.08,0
